Arctic						北极
(of a horse, dog, or other animal) compete in trials:（马、狗或其他动物）参加试验
trial |ˈtrʌɪəl| Noun/Verb/:审判,试验
the newspaper accounts of the trial:审判的报纸报道
clinical trials must establish whether the new hip replacements are working:临床试验必须确定新的髋关节置换术是否有效
he cracked his ankle the week before the final trial:他在决赛前一周扭伤了脚踝
horse trials:马试验
the trials and tribulations of married life:婚姻生活的磨难和磨难
teachers all over the UK are trialling the materials:teachers英国各地正在试用这些材料
the pup trialled on Saturday:周六审判的小狗

relating to the observation and treatment of actual patients rather than theoretical or laboratory studies:关于实际患者的观察和治疗，而不是理论或实验室研究
(of a disease or condition) causing observable and recognizable symptoms:（疾病或病症）引起可观察和可识别的症状
very efficient and without feeling; coldly detached:效率很高，没有感觉；冷漠
(of a room or building) bare, functional, and clean:（房间或建筑物的）光秃秃的、实用的、干净的
clinical |ˈklɪnɪk(ə)l| Adjective/:临床
clinical medicine:临床医学
clinical depression:临床抑郁症
nothing was left to chance—everything was clinical:没有什么是偶然的——一切都是临床的
the room was white and clinical:房间是白色的和临床的

not officially attached to or connected with an organization or group:未正式附属于或与组织或团体有联系
unaffiliated |ʌnəˈfɪlɪeɪtɪd| Adjective/:无关联的,独立的
the term designated people who were unaffiliated with either religion:theterm指定与任一宗教无关的人

the giving of something to someone, especially as part of a formal ceremony:给某人某物，尤其是作为正式仪式的一部分
the manner or style in which something is given, offered, or displayed:给予、提供或展示某物的方式或风格
a speech or talk in which a new product, idea, or piece of work is shown and explained to an audience:向观众展示和解释新产品、想法或作品的演讲或谈话
a formal introduction of someone, especially at court:某人的正式介绍，尤其是在法庭上
the action or right of formally proposing a candidate for a Church benefice or other position:正式为教会慈善或其他职位推荐候选人的行动或权利
the position of a fetus in relation to the cervix at the time of delivery:分娩时胎儿相对于子宫颈的位置
the coming forward of a patient for initial examination and diagnosis:患者前来进行初步检查和诊断
the manner in which a disease initially manifests itself:疾病最初表现的方式
presentation |prɛz(ə)nˈteɪʃ(ə)n| Noun/:介绍,推介会
the presentation of certificates to new members:向新会员颁发证书
the presentation of foods is designed to stimulate your appetite:食物的介绍旨在刺激你的食欲
a sales presentation:a销售演示
after her presentation to Queen Victoria, he had escorted his sister to numerous balls:在她向维多利亚女王发表演讲后，他护送他的妹妹参加了许多舞会
the Earl of Pembroke offered Herbert the presentation of the living of Bremerton:彭布罗克伯爵向赫伯特介绍了布雷默顿的生平
a breech presentation:a臀位演示
all patients in this group were symptomatic at initial presentation:该组中的所有患者在初次就诊时都有症状
depression frequently forms part of the clinical presentation of dementia:depression经常成为痴呆症临床表现的一部分

point out; show:指出；展示
be a sign of; strongly suggest:be一个标志；强烈建议
mention indirectly or briefly:间接或简要提及
direct attention to (someone or something) by means of a gesture:通过手势直接关注（某人或某事）
(of a gauge or meter) register a reading of (a quantity, dimension, etc.):（仪表或仪表的）记录（数量、尺寸等）的读数
suggest as a desirable or necessary course of action:suggest作为理想或必要的行动方案
(of a driver or motor vehicle) signal an intention to change lanes or turn using an indicator:（驾驶员或机动车辆的）使用指示器发出改变车道或转弯的意图
indicate |ˈɪndɪkeɪt| Verb/:,表示,指出
dotted lines indicate the text's margins:虚线表示文本的边距
sales indicate a growing market for such art:sales表明此类艺术品的市场不断增长
the president indicated his willingness to use force against the rebels:总统表示愿意对叛军动武
he indicated Cindy with a brief nod of the head:he用一个简短的点头示意Cindy
an external tube is used to indicate fluid level:一个外管用于指示液位
treatment for shock may be indicated:治疗休克可能被指示
Cal indicated and moved across the road:Cal指示并移动过马路

made great strides | 取得了长足的进步,大踏步





care taken to avoid danger or mistakes:注意避免危险或错误
an official or legal warning given to someone who has committed a minor offence but has not been charged, to the effect that further action will be taken if they commit another such offence:向犯有轻微罪行但尚未受到指控的人发出的官方或法律警告，大意是如果他们再犯此类罪行，将采取进一步行动
warning:
an amusing or surprising person:一个有趣或令人惊讶的人
say something as a warning:说一些警告
warn or advise against (doing something):警告或建议不要（做某事）
issue an official or legal warning to:发布官方或法律警告
(of a police officer) advise (someone) of their legal rights when arresting them:（警官的）在逮捕他们时告知（某人）他们的合法权利
caution |ˈkɔːʃ(ə)n| Noun/Verb/:警告,小心
anyone receiving a suspect package should exercise extreme caution:任何收到可疑包裹的人都应格外小心
they let him off with a caution:他们小心翼翼地放了他
business advisers have sounded a note of caution:business顾问发出警告
‘You're a caution, you are,’ she said:“你是一个警告，你是，”她说
advisers have cautioned against tax increases:advisers警告不要加税
he was cautioned for possessing drugs:他因持有毒品而被警告
having cautioned her, the police were ready to take her away for questioning:警告她后，警方准备带走她进行讯问

long life:长寿
long existence or service:长期存在或服务
longevity |lɒnˈdʒɛvɪti| Noun/:长寿,寿命
the greater longevity of women compared with men:女性比男性更长寿
her longevity in office now appeared as a handicap to the party:她在办公室的长寿现在似乎是党的障碍

raise levels of physiological or nervous activity in (the body or any biological system):提高（身体或任何生物系统）的生理或神经活动水平
encourage or arouse interest or enthusiasm in:
encourage development of or increased activity in (a state or process):鼓励在（状态或过程）中发展或增加活动
stimulate |ˈstɪmjʊleɪt| Verb/:,激发
the women are given fertility drugs to stimulate their ovaries:女性服用生育药物以刺激她们的卵巢
the reader could not fail to be stimulated by the ideas presented:读者一定会被所提出的想法所激发
the courses stimulate a passion for learning:课程激发学习热情

a whitish fibre or bundle of fibres in the body that transmits impulses of sensation to the brain or spinal cord, and impulses from these to the muscles and organs:身体中的白色纤维或纤维束，将感觉冲动传递到大脑或脊髓，并将这些冲动传递到肌肉和器官
one's steadiness and courage in a demanding situation:one在苛刻的情况下的沉着和勇气
impudence or audacity:impudenceoraudacity
feelings of nervousness:紧张的感觉
a prominent unbranched rib in a leaf, especially in the midrib of the leaf of a moss.:叶子中突出的不分枝的肋骨，尤其是在苔藓叶子的中脉中。
brace oneself mentally to face a demanding situation:在精神上支撑自己去面对苛刻的情况
nerve |nəːv| Noun/Verb/:神经
the optic nerve:视神经
an amazing journey which tested her nerves to the full:一次奇妙的旅程，彻底考验了她的神经
he had the nerve to insult my cooking:他居然敢侮辱我的厨艺
his first-night nerves soon disappeared:他第一夜的紧张很快就消失了
she nerved herself to enter the room:she鼓起勇气进了房间

the manner in which a person behaves, especially in a particular place or situation:一个人的行为方式，尤其是在特定的地方或情况下
the manner in which an organization or activity is managed or directed:组织或活动的管理或指导方式
the action of leading; guidance:领导的行动；指导
organize and carry out:组织和执行
lead or guide (someone) to or around a particular place:lead或引导（某人）到特定地点或周围
transmit (a form of energy such as heat or electricity) by conduction:transmit（一种能量形式，如热或电）通过传导
direct the performance of (a piece of music or an orchestra, choir, etc.):direct表演（一首音乐或管弦乐队、合唱团等）
behave in a specified way:以特定方式行事
conduct |ˈkɒndʌkt| Noun/Verb/:执行,行为,进行,品行
they were arrested for disorderly conduct:他们因行为不检而被捕
the conduct of the elections:选举的进行
travelling through the world under the conduct of chance:在机缘巧合下周游世界
in the second trial he conducted his own defence:在第二次审判中他进行了自己的辩护
he conducted us through his personal gallery of the Civil War:他带领我们参观了他的内战个人画廊
heat is conducted to the surface:热量传导至表面
the concert is to be conducted by Sir Simon Rattle:音乐会由西蒙·拉特爵士指挥
he conducted himself with the utmost propriety:他举止得体

a person who is addicted to a particular substance, typically an illegal drug:对某种特定物质（通常是非法药物）上瘾的人
an enthusiastic devotee of a specified thing or activity:一个特定事物或活动的热心奉献者
addict |ˈadɪkt| Noun/:瘾君子,吸毒者
a former heroin addict:一个前海洛因成瘾者
a self-confessed chocolate addict:一个自认的巧克力瘾君子

based on or in accordance with what is generally done or believed:基于或根据通常所做的或相信的
(of a person) greatly or overly concerned with what is generally held to be socially acceptable:（某人的）非常关注或过度关注通常被社会接受的东西
(of a work of art or literature) following traditional forms and genres:（艺术或文学作品）遵循传统形式和流派
(of weapons or power) non-nuclear:（武器或权力）非核
(of a bid) intended to convey a particular meaning according to an agreed convention:(ofabid)意在根据约定的约定传达特定含义
conventional |kənˈvɛnʃ(ə)n(ə)l| Adjective/:传统的,常规
a conventional morality had dictated behaviour:a传统道德决定了行为
you're a bit too well-brought-up, a bit too conventional:你太有教养了，有点太传统了
conventional love poetry:传统情诗
agreement on reducing conventional forces in Europe:关于减少欧洲常规部队的协议
West made a conventional bid showing a hand with at least 5 spades:West进行常规叫牌，显示一手至少有5张黑桃

a thing or things belonging to someone; possessions collectively:属于某人的东西；集体财产
a building or buildings and the land belonging to it or them:一幢或多幢建筑物以及属于它或它们的土地
shares or investments in property:股票或房地产投资
the right to the possession, use, or disposal of something; ownership:拥有、使用或处置某物的权利；所有权
an attribute, quality, or characteristic of something:某物的属性、品质或特征
property |ˈprɒpəti| Noun/:财产,属性,性能
she wanted Oliver and his property out of her flat:她想把奥利弗和他的财产搬出她的公寓
he's expanding now, buying property:他现在正在扩张，购买房产
properties ran into profit-taking, with Haslemere 176p:properties获利了结，Haslemere176p
rights of property:财产权
the property of heat to expand metal at uniform rates:热使金属均匀膨胀的特性

to a certain extent | 在某种程度上,在一定程度上





express warm approval or admiration of:express热烈赞同或钦佩
express one's respect and gratitude towards (a deity), especially in song:表达对（神明）的尊敬和感激，尤其是在歌曲中
the expression of approval or admiration for someone or something:对某人或某事表示赞同或钦佩
the expression of respect and gratitude as an act of worship:表达尊重和感激作为一种崇拜行为
praise |preɪz| Noun/Verb/:称赞,赞美,表扬
we can't praise Chris enough—he did a brilliant job:我们怎么赞美克里斯都不为过——他做得非常出色
we praise God for past blessings:我们为过去的祝福赞美上帝
the audience was full of praise for the whole production:观众对整个制作赞不绝口
give praise to God:赞美神

raise levels of physiological or nervous activity in (the body or any biological system):提高（身体或任何生物系统）的生理或神经活动水平
encourage or arouse interest or enthusiasm in:
encourage development of or increased activity in (a state or process):鼓励在（状态或过程）中发展或增加活动
stimulate |ˈstɪmjʊleɪt| Verb/:,激发
the women are given fertility drugs to stimulate their ovaries:女性服用生育药物以刺激她们的卵巢
the reader could not fail to be stimulated by the ideas presented:读者一定会被所提出的想法所激发
the courses stimulate a passion for learning:课程激发学习热情

a chemical substance which is released at the end of a nerve fibre by the arrival of a nerve impulse and, by diffusing across the synapse or junction, effects the transfer of the impulse to another nerve fibre, a muscle fibre, or some other structure.:一种化学物质，在神经冲动到达时在神经纤维末端释放，并通过突触或连接处扩散，影响将冲动转移到另一根神经纤维、肌肉纤维或其他一些结构体。
neurotransmitter |ˌnjʊərəʊtranzˈmɪtə| Noun/:神经递质,神经传导物质
:

a compound present in the body as a neurotransmitter and a precursor of other substances including adrenaline.:一种存在于体内的化合物，作为神经递质和其他物质（包括肾上腺素）的前体。
dopamine |ˈdəʊpəmiːn| Noun/:多巴胺,多巴氨
:

show (someone) to be involved in a crime:show（某人）参与犯罪
bear some of the responsibility for (an action or process, especially a criminal or harmful one):承担一些责任（行动或过程，尤其是犯罪或有害的）
convey (a meaning) indirectly through what one says, rather than stating it explicitly:convey（一种意思）间接通过某人所说的，而不是明确地陈述出来
a thing implied.:隐含的东西。
implicate |ˈɪmplɪkeɪt| Noun/Verb/:,牵连到
he was implicated in a price-fixing scandal:他卷入了一起操纵价格的丑闻
viruses are known to be implicated in the development of certain cancers:viruses已知与某些癌症的发展有关
by saying that coffee would keep her awake, Mary implicated that she didn't want any:通过说咖啡会让她保持清醒，玛丽暗示她不想要任何

a strong feeling of wanting to have something or wishing for something to happen:强烈的想要某事或希望某事发生的感觉
strong sexual feeling or appetite:强烈的性感觉或食欲
something desired.:想要的东西。
strongly wish for or want (something):强烈希望或想要（某事）
want (someone) sexually:want（某人）在性方面
express a wish to:表达一个愿望
desire |dɪˈzʌɪə| Noun/Verb/:欲望,想要,愿望,渴望
he resisted public desires for choice in education:他抵制了公众对教育选择的渴望
they were clinging together in fierce desire:他们在强烈的欲望中紧紧地依偎在一起
he never achieved the status he so desired:他从来没有达到他想要的状态
there had been a time, years ago, when he had desired her:几年前，他想要她的时候
John spake unto him, and desired him in like manner and contestation as before:John和他说话，像以前一样渴望他

existing in something as a permanent, essential, or characteristic attribute:作为永久的、本质的或特征性的属性存在于某事物中
vested in someone as a right or privilege:作为权利或特权授予某人
(of an adjective) having the same meaning in both attributive and predicative uses.:（形容词的）在定语和谓语用法中具有相同的含义。
inherent |ɪnˈhɪər(ə)nt| Adjective/:固有,固有的
any form of mountaineering has its inherent dangers:任何形式的登山都有其固有的危险
the president's inherent foreign affairs power:总统固有的外交权力

savagely violent:野蛮暴力
unpleasant or harsh:
direct and without attempting to disguise unpleasantness:direct并且不试图掩饰不愉快
brutal |ˈbruːt(ə)l| Adjective/:野蛮,残酷,残暴,野蛮的
a brutal murder:一场残忍的谋杀
the brutal morning light:残酷的晨光
the brutal honesty of his observations:他观察的残酷诚实

an act of slaughtering an animal or person or surrendering a possession as an offering to a deity:屠宰动物或人或将财产作为祭品献给神的行为
an animal, person, or object offered in the act of sacrifice:在牺牲行为中提供的动物、人或物体
Christ's offering of himself in the Crucifixion.:基督在受难时献上自己。
the Eucharist regarded either (in Catholic terms) as a propitiatory offering of the body and blood of Christ or (in Protestant terms) as an act of thanksgiving.:圣体圣事要么（用天主教的话）视为基督的身体和宝血的赎罪祭，要么（用新教的术语）视为感恩的行为。
an act of giving up something valued for the sake of something else regarded as more important or worthy:为了其他被认为更重要或更有价值的东西而放弃有价值的东西的行为
a move intended to allow the opponent to win a pawn or piece, for strategic or tactical reasons.:出于战略或战术原因，旨在让对手赢得棋子或棋子的举动。
a bunted or fly ball which puts the batter out but allows a base runner to advance.:abunted或flyball将击球手击出但允许跑垒员前进。
a bid made in the belief that it will be less costly to be defeated in the contract than to allow the opponents to make a contract.:出价时相信在合同中被击败比让对手签订合同成本更低。
offer or kill as a religious sacrifice:offerorkill作为宗教牺牲
give up (something valued) for the sake of other considerations:
deliberately allow one's opponent to win (a pawn or piece):故意让对手获胜（棋子或棋子）
advance (a base runner) by a sacrifice:advance（跑垒员）牺牲
make a sacrifice bid:作出牺牲出价
sacrifice |ˈsakrɪfʌɪs| Noun/Verb/:牺牲
they offer sacrifices to the spirits:他们为灵魂献祭
a flat cake offered by the Romans as a sacrifice to their gods:罗马人作为祭祀他们的神而提供的扁平蛋糕
we must all be prepared to make sacrifices:我们都要做好牺牲的准备
the goat was sacrificed at the shrine:山羊在神社被献祭
working hard doesn't mean sacrificing your social life:努力工作并不意味着牺牲你的社交生活
he sacrificed his queen on the 34th move:他在第34步牺牲了他的皇后
Doyle was sacrificed to second:Doyle被牺牲到第二
in that event East–West would sacrifice in six spades:在那次事件中，东西方将在六张黑桃中牺牲

excellently:优秀
in a way that is widely known:以广为人知的方式
famously |ˈfeɪməsli| Adverb/:著名的,出名
we got on famously:我们出名了
they have famously reclusive lifestyles:他们有著名的隐居生活方式

an expert or specialist in psychology:心理学专家或专家
psychologist |sʌɪˈkɒlədʒɪst| Noun/:心理学家
psychologists are being called in to help employees cope with job losses:心理学家被要求帮助员工应对失业问题

a large wheel turned by the weight of people or animals treading on steps fitted into its inner surface, formerly used to drive machinery.:一个大轮子，由踩在其内表面的台阶上的人或动物的重量转动，以前用于驱动机器。
a device used for exercise, consisting of a continuous moving belt on which to walk or run.:一种用于锻炼的设备，由一条连续移动的带组成，可以在上面行走或跑步。
a job or situation that is tiring, boring, or unpleasant and from which it is hard to escape:令人疲倦、无聊或不愉快且难以摆脱的工作或情况
treadmill |ˈtrɛdmɪl| Noun/:跑步机,踏车
the soulless treadmill of urban existence:城市存在的无灵魂跑步机

wear off | 脱掉,磨损





a thing given in recognition of service, effort, or achievement:为表彰服务、努力或成就而给予的东西
a fair return for good or bad behaviour:良好或不良行为的公平回报
a sum offered for information leading to the solving of a crime, the detection of a criminal, etc.:提供用于侦破犯罪、侦查犯罪等的信息的款项。
give something to (someone) in recognition of their services, efforts, or achievements:给予（某人）某物以表彰他们的服务、努力或成就
show one's appreciation of (an action or quality):表现出对（一个动作或品质）的欣赏
receive what one deserves:收到应得的
reward |rɪˈwɔːd| Noun/Verb/:报酬,奖励,赏,奖金
the holiday was a reward for 40 years' service with the company:
a slap on the face was his reward for his cheek:一巴掌是他对脸颊的奖励
the police are offering a reward of up to one thousand pounds for information leading to an arrest and conviction:警方提供高达一千英镑的奖励，以提供导致逮捕和定罪的信息
the engineer who supervised the work was rewarded with the MBE:监督工作的工程师获得MBE奖励
an effective organization rewards creativity and initiative:一个有效的组织奖励创造力和主动性
their hard work was rewarded by the winning of a five-year contract:他们的辛勤工作得到了一份五年合同的回报

a piece of metal or other hard material curved or bent back at an angle, for catching hold of or hanging things on:一块金属或其他硬质材料弯曲或向后弯曲一定角度，用于抓住或悬挂东西
a bent piece of metal, typically barbed and baited, for catching fish.:一块弯曲的金属，通常带有倒钩和诱饵，用于捕鱼。
a cradle on which a phone receiver rests.:放置电话听筒的支架。
a thing designed to catch people's attention:一个旨在引起人们注意的东西
a catchy chorus or repeated instrumental passage in a piece of popular music:一段流行音乐中朗朗上口的合唱或重复的器乐段落
a curved cutting instrument, especially as used for reaping or shearing.:a弯曲的切割工具，尤其用于收割或剪切。
a short swinging punch made with the elbow bent and rigid, especially in boxing:用肘部弯曲而僵硬的短摆拳，特别是在拳击中
a stroke made to the on side with a horizontal or slightly upward swing of the bat at shoulder height.:在肩部高度水平或略微向上挥动球棒的一侧击球。
a stroke that makes the ball deviate in flight in the direction of the follow-through (from right to left for a right-handed player), typically inadvertently.:使球在飞行中向后传方向（右手球员从右到左）偏离的击球，通常是不经意的。
a curved stroke in handwriting.:手写中的弯曲笔画。
an added stroke transverse to the stem in the symbol for a quaver or other note.:在八分音符或其他音符的符号中添加横向于词干的笔画。
a curved promontory or sand spit.:一个弯曲的海角或沙嘴。
hook |hʊk| Noun/Verb/:钩,钩住,勾,钩子
a picture hook:a画钩
companies are looking for a sales hook:companys正在寻找销售线索
strong, funky vocals with a hook that gets into your head:强烈、时髦的人声，带入你的脑海
a perfectly timed right hook to the chin:一个完美的下巴右勾拳

a particular kind of matter with uniform properties:一种具有统一性质的特殊物质
an intoxicating, stimulating, or narcotic chemical or drug, especially an illegal one:一种令人陶醉、刺激或麻醉的化学品或药物，尤其是非法的
the real physical matter of which a person or thing consists and which has a tangible, solid presence:构成人或事物的真实物理物质，具有有形的、坚实的存在
the most important or essential part of something; the real or essential meaning:某物最重要或必不可少的部分；真正的或本质的意义
the subject matter of a text, speech, or work of art, especially as contrasted with the form or style in which it is presented:文本、演讲或艺术作品的主题，尤其是与其呈现的形式或风格形成对比的
the quality of being important, valid, or significant:重要、有效或重要的品质
the quality of having a solid basis in reality or fact:在现实或事实中拥有坚实基础的品质
the quality of being dependable or stable:可靠或稳定的品质
wealth and possessions:财富和财产
the essential nature underlying phenomena, which is subject to changes and accidents.:现象背后的本质本质，易受变化和意外的影响。
substance |ˈsʌbst(ə)ns| Noun/:物质
a steel tube coated with a waxy substance:a涂有蜡质物质的钢管
he was suspended for using a banned substance:他因使用禁用物质而被停职
proteins compose much of the actual substance of the body:蛋白质构成了身体的大部分实际物质
the substance of the Maastricht Treaty:马斯特里赫特条约的实质内容
the substance of his book was the history of allegorical love literature:他的书的实质是寓言爱情文学的历史
he had yet to accomplish anything of substance:他还没有完成任何实质性的工作
the claim has no substance:该声明没有实质内容
some were inclined to knock her for her lack of substance:有些人因为她缺乏实质内容而倾向于敲她
a woman of substance:一个有内涵的女人

causing great physical or mental pain:造成巨大的身体或精神痛苦
agonizing |ˈaɡənʌɪzɪŋ| Adjective/:痛苦的,苦恼的
an agonizing death:痛苦的死亡

in a manner relating to the body as opposed to the mind:以与身体相关的方式而不是与头脑相关的方式
in a way that involves bodily contact or activity:以涉及身体接触或活动的方式
in a way that relates to the real world and things perceived through the senses as opposed to the mind:以一种与现实世界和通过感官而不是头脑感知的事物相关的方式
in terms of what is possible in the real world:在现实世界中什么是可能的
physically |ˈfɪzɪkli| Adverb/:身体上,身体上的
physically demanding work:体力劳动
he physically assaulted a colleague:他殴打同事
cyberspace is a virtual place; it does not physically exist:cyberspace是一个虚拟的地方；它在物理上不存在
it is physically impossible to check every car:检查每一辆车实际上是不可能的

feelings of severe despondency and dejection:严重的沮丧和沮丧的感觉
a mental condition characterized by feelings of severe despondency and dejection, typically also with feelings of inadequacy and guilt, often accompanied by lack of energy and disturbance of appetite and sleep:一种以极度沮丧和沮丧的感觉为特征的精神状况，通常也有不足和内疚的感觉，通常伴有精力不足和食欲和睡眠障碍
a long and severe recession in an economy or market:经济或市场长期严重衰退
the financial and industrial slump of 1929 and subsequent years.:1929年及随后几年的金融和工业衰退。
the action of lowering something or pressing something down:降低某物或压下某物的动作
a sunken place or hollow on a surface:表面凹陷或凹陷的地方
a region of lower atmospheric pressure, especially a cyclonic weather system:一个气压较低的地区，尤其是气旋天气系统
the angular distance of an object below the horizon or a horizontal plane.:地平线或水平面以下物体的角距离。
depression |dɪˈprɛʃ(ə)n| Noun/:沮丧,萧条,抑郁症
self-doubt creeps in and that swiftly turns to depression:自我怀疑悄悄蔓延，并迅速转变为抑郁症
she was referred by a psychiatrist treating her for depression:she被一位治疗她抑郁症的精神科医生转介
the depression in the housing market:楼市萧条
depression of the plunger delivers two units of insulin:下压柱塞输送两个单位的胰岛素
the original shallow depressions were slowly converted to creeks:原来的浅洼地慢慢变成了小溪
hurricanes start off as loose regions of bad weather known as tropical depressions:hurricanes开始于被称为热带低气压的恶劣天气的松散区域

a feeling of worry, nervousness, or unease about something with an uncertain outcome:对结果不确定的事情感到担心、紧张或不安
a mental condition characterized by excessive apprehensiveness about real or perceived threats, typically leading to avoidance behaviours and often to physical symptoms such as increased heart rate and muscle tension:
strong desire or concern to do something or for something to happen:强烈渴望或担心做某事或某事发生
anxiety |aŋˈzʌɪəti| Noun/:焦虑
he felt a surge of anxiety:他感到一阵焦虑
we are seeing more calls related to anxiety and depression:我们看到更多与焦虑和抑郁有关的电话
the housekeeper's eager anxiety to please:管家急于取悦

a select group that is superior in terms of ability or qualities to the rest of a group or society:在能力或素质方面优于其他群体或社会的选定群体
a group or class of people seen as having the most power and influence in a society, especially on account of their wealth or privilege:被视为在社会中拥有最大权力和影响力的一群或一类人，尤其是由于他们的财富或特权
a size of letter in typewriting, with 12 characters to the inch (about 4.7 to the centimetre).:一个字母大小的打字机，每英寸有12个字符（大约4.7到厘米）。
elite |eɪˈliːt| Noun/:,精华
the elite of Britain's armed forces:英国武装部队的精英
the country's governing elite:国家的执政精英

exercising power in a cruel or arbitrary way:以残酷或武断的方式行使权力
characteristic of tyranny; oppressive and controlling:专制的特征；压迫和控制
tyrannical |tɪˈranɪk(ə)l| Adjective/:强横,暴虐,专横的
a tyrannical government:专制政府
a momentary quieting of her tyrannical appetite:她暴虐的食欲暂时平息

a person or thing acting or serving in place of another:一个人或物代替另一个人或事物行事或服务
a person or thing that becomes the object of love or another emotion which is deprived of its natural outlet:一个人或物成为爱的对象或另一种被剥夺了自然发泄的情感
a sports player nominated as eligible to replace another after a match has begun:一名运动员在比赛开始后被提名为有资格替换另一名运动员
a deputy:a副
use or add in place of:use或add代替
act or serve as a substitute:
replace (someone or something) with another:用另一个替换（某人或某物）
replace (an atom or group in a molecule, especially a hydrogen atom) with another:replace（分子中的原子或基团，尤其是氢原子）
replace (a sports player) with a substitute during a match:replace（体育运动员）在比赛中用替补
substitute |ˈsʌbstɪtjuːt| Noun/Verb/:代替,替代品,替代,替换,取代
soya milk is used as a substitute for dairy milk:豆浆作为牛奶的替代品
a father substitute:父亲替补
Stewart was the Rovers substitute:Stewart是流浪者队的替补
a sheriff substitute:警长替补
dried rosemary can be substituted for the fresh herb:干迷迭香可以代替新鲜香草
I found someone to substitute for me:我找到了替代我的人
customs officers substituted the drugs with another substance:海关人员用另一种物质代替了毒品
three of the hydrogen atoms of the methane molecule have been substituted by chlorine, bromine or iodine atoms:甲烷分子的三个氢原子已被氯、溴或碘原子取代
he was substituted eleven minutes from time:he在11分钟后被替换下场

a small metal spike with a broadened flat head, driven into wood to join things together or to serve as a hook:一个带有加宽平头的小金属钉，插入木头将东西连接在一起或用作钩子
a horny covering on the upper surface of the tip of the finger and toe in humans and other primates:人类和其他灵长类动物指尖和脚趾上表面的角质覆盖物
an animal's claw:一只动物的爪子
a hard growth on the upper mandible of some soft-billed birds.:一些软嘴鸟的上颌骨上有硬生长。
a medieval measure of length for cloth, equal to 21/4 inches.:中世纪的布料长度，等于21/4英寸。
a medieval measure of wool, beef, or other commodity, roughly equal to 7 or 8 pounds.:中世纪的羊毛、牛肉或其他商品，大约等于7或8磅。
fasten with a nail or nails:用钉子或钉子固定
detect or catch (someone, especially a suspected criminal):detectorcatch（某人，尤其是犯罪嫌疑人）
expose (a lie or other deception):expose（谎言或其他欺骗）
(of a player) strike (a ball) forcefully and successfully:(球员的)有力且成功地击打(球)
(of a fielder) put (a runner) out by throwing to a base:（外野手的）投掷到垒上，将（跑垒员）踢出局
(of a player) defeat or outwit (an opponent):（玩家的）击败或智取（对手）
(of a player) secure (a victory) conclusively:（一名球员）最终确保（胜利）
perform (an action or task) perfectly:perform（动作或任务）完美
(of a man) have sex with (someone).:（一个男人）与（某人）发生性关系。
nail |neɪl| Noun/Verb/:指甲,钉牢,钉,钉子
don't try and hammer nails into the ceiling joists:不要尝试将钉子钉入天花板托梁
she began to bite her nails:she开始咬指甲
the clicking of a dog's nails on a wooden floor:狗的指甲在木地板上的咔哒声
the strips are simply nailed to the roof:条带简单地钉在屋顶上
have you nailed the killer?:你找到凶手了吗？
he spoke out to nail the lie that he'd had a row with his manager:他说出了他与经理吵架的谎言
she was stretched to the limit and failed to nail the smash:she被拉到极限，没能扣杀
he muffed a perfect throw home that should have nailed Joe by yards:他把一个完美的投球回家，应该把乔钉在几码处
Navratilova tried to nail her on the backhand side:Navratilova试图将她钉在反手一侧
I fancy the Scots to nail a win:我喜欢苏格兰人取得胜利
she absolutely nailed the high notes:she绝对是高音

a long, narrow box, typically of wood, in which a dead body is buried or cremated:一个长而窄的盒子，通常由木头制成，其中埋葬或火化尸体
an old and unsafe aircraft or ship:
put (a dead body) in a coffin:put（一具尸体）在棺材里
coffin |ˈkɒfɪn| Noun/Verb/:,棺
they lowered her coffin into the ground:他们把她的棺材放到地上
a clapped-out one-gun flying coffin:一个拍手的单枪飞棺
the young man was coffined decently:小伙子被好好地棺材

in a way that suggests or resembles a miracle:以暗示或类似于奇迹的方式
in a remarkable and extremely lucky manner:以一种非凡且极其幸运的方式
miraculously |mɪˈrakjʊləsli| Adverb/:,神奇地
a shrine where people bring the sick to be miraculously healed:神社，人们带着病人奇迹般地治愈
the two drivers miraculously escaped with only minor injuries:两名司机奇迹般逃脱，仅受轻伤

located or situated on every side:位于或位于每一侧
so as to face in the opposite direction:朝相反的方向
in or to many places throughout a locality:
aimlessly or unsystematically; here and there:漫无目的或不系统地；13
present, living, in the vicinity, or in active use:现在，居住，在附近，或正在使用中
(used with a number or quantity) approximately:（与数字或数量一起使用）大约
on every side of:在每一边
(of something abstract) having (the thing mentioned) as a focal point:（抽象的东西）有（提到的东西）作为焦点
in or to many places throughout (a community or locality):in或到许多地方（社区或地方）
so as to pass (a place or object) in a curved or approximately circular route:以便以弯曲的或近似圆形的路线通过（一个地方或物体）
so as to encircle or embrace (someone or something):以包围或拥抱（某人或某物）
around |əˈraʊnd| Adverb/Preposition/:大约,围绕,周围
the mountains towering all around:群山耸立
Guy seized her by the shoulders and turned her around:
word got around that he was on the verge of retirement:word得知他即将退休
one of them was glancing nervously around:其中一个紧张地环顾四周
there was no one around:没有人在身边
software costs would be around £1,500:software成本约为1,500英镑
the palazzo is built around a courtyard:thepalazzo围绕庭院而建
our entire culture is built around those loyalties:我们的整个文化都是围绕这些忠诚度建立的
cycling around the village:在村子里骑自行车
he walked around the airfield:他在机场转了一圈
he put his arm around her:他搂着她

